VendorName|RetailerName|RetailerVendorId|VendorStoreNumber|RetailerStoreNumber|ProcessDateEFT|InvoiceDate|InvoiceDueDate|InvoiceNumber|InvoiceAmount|InvoiceItemCount|PONumber|PODate|ReferenceInvoiceNumber|ProductNumber|Quantity|UnitCost|UnitOfMeasure|PacksPerCase|PackUPC|CaseUPC|ProductDescription|DiscountAdjustment|DepositAdjustment|MiscellaneousAdjustment|TaxAdjustment|DeliveryAdjustment|ExtendedPrice|Manufacturer|UnitSize|UnitsPerCase|Dept|GLCode
Republic National Dist - OK|Choctaw Casino - McAlester|413431-NOKLAHOM|670241|4216|08/27/2025|08/27/2025|08/27/2025|3091764|232.7|7||||00114339|2.0|31.5|CS|6|085200618743|085200000067|Sutter Home Chardonnay 6/4 187 ml Bottle|0.0|0.0|0.0|0.0|0.0|63.0|Trinchero Family Estates|187 ml|24||5100215
Republic National Dist - OK|Choctaw Casino - McAlester|413431-NOKLAHOM|670241|4216|08/27/2025|08/27/2025|08/27/2025|3091764|232.7|7||||00380984|1.0|24.87|EA|0|811538011433||JC TRADICIONAL BLANCO TEQ|0.0|0.0|0.0|0.0|0.0|24.87|||0||5100200
Republic National Dist - OK|Choctaw Casino - McAlester|413431-NOKLAHOM|670241|4216|08/27/2025|08/27/2025|08/27/2025|3091764|232.7|7||||00630303|3.0|18.48|EA|1|089540448978|089540448978|Malibu Coconut Rum 1/12 1 ltr Bottle 42PF|0.0|0.0|0.0|0.0|0.0|55.44|Pernod Ricard|1 l|12||5100200
Republic National Dist - OK|Choctaw Casino - McAlester|413431-NOKLAHOM|670241|4216|08/27/2025|08/27/2025|08/27/2025|3091764|232.7|7||||00048749|3.0|7.47|EA|1|089105024104|08910502410|Conciere Vodka 1/12 1 ltr Bottle 80PF|0.0|0.0|0.0|0.0|0.0|22.41|American Distilling Co|1 l|12||5100200
Republic National Dist - OK|Choctaw Casino - McAlester|413431-NOKLAHOM|670241|4216|08/27/2025|08/27/2025|08/27/2025|3091764|232.7|7||||00311453|1.0|34.98|EA|1|080432500118|080432500118|Jameson Irish Whiskey 1/12 1 ltr Bottle 80PF|0.0|0.0|0.0|0.0|0.0|34.98|Pernod Ricard|1 l|12||5100200
Republic National Dist - OK|Choctaw Casino - McAlester|413431-NOKLAHOM|670241|4216|08/27/2025|08/27/2025|08/27/2025|3091764|232.7|7||||00048728|1.0|7.67|EA|0|089105124101||CONCIERE GIN|0.0|0.0|0.0|0.0|0.0|7.67|||0||5100200
Republic National Dist - OK|Choctaw Casino - McAlester|413431-NOKLAHOM|670241|4216|08/27/2025|08/27/2025|08/27/2025|3091764|232.7|7||||00004213|1.0|24.33|EA|1|835229000407|835229000407|Absolut Vodka 1/6 1 ltr Bottle 80PF|0.0|0.0|0.0|0.0|0.0|24.33|Pernod Ricard|1 l|6||5100200
Republic National Dist - OK|Choctaw Casino - McAlester|413431-NOKLAHOM|670241|4216|08/27/2025|08/27/2025|08/27/2025|3091765|46.44|1||||00941057|1.0|46.44|CS|1|070491801950|070491801950|Finest Call Sweet and Sour 1/12 33.8 oz Bottle|0.0|0.0|0.0|0.0|0.0|46.44|American Beverage Marketers|33.8 oz|12||5100200
Republic National Dist - OK|Resort Food and Beverage Choctaw Casinos|413431-NOKLAHOM|697857|4211|08/27/2025|08/27/2025|08/27/2025|3091781|6591.86|32||||00999837|1.0|70.48|EA|1|812066021598|812066021598|The Macallan 12yr Sherry Oak Double Cask Single Malt Highland Scotch Whisky 1/12 750 ml Bottle 86PF|0.0|0.0|0.0|0.0|0.0|70.48|Edrington|750 ml|12||5100200
Republic National Dist - OK|Resort Food and Beverage Choctaw Casinos|413431-NOKLAHOM|697857|4211|08/27/2025|08/27/2025|08/27/2025|3091781|6591.86|32||||00066393|1.0|224.37|CS|1|083664868780|083664868780|Hendricks Gin 1/6 1 ltr Bottle 88PF|0.0|0.0|0.0|0.0|0.0|224.37|William Grant and Sons|1 l|6||5100200
